D43X5,竹山,阿里山新站,2017/10/31,04:00:00,8,436,20.5,51.7,26,36.5,99,2.3,0.28,5.7,80,2.4,332,0,8.6,2.9,細懸浮微粒,普通,2017/10/30 13:00
D416W,西屯,松竹路站,2017/10/31,04:00:00,85,429,26.2,47.9,33.1,32.6,68,2.3,0.17,6.5,52,6.6,6.1,0,7.4,0.9,細懸浮微粒,普通,2017/10/30 13:00
D4121,西屯,王田供油中心-3,2017/10/31,04:00:00,32,417,23.1,53.8,32,39,68,2.3,0.17,6.5,52,6.6,6.1,0,7.4,0.9,細懸浮微粒,普通,2017/10/30 13:00
D414L,西屯,大肚站,2017/10/31,04:00:00,27,426,28.1,44.3,29.7,41.6,68,2.3,0.17,6.5,52,6.6,6.1,0,7.4,0.9,細懸浮微粒,普通,2017/10/30 13:00
D414Y,西屯,台中工業區站,2017/10/31,04:00:00,10,402,25.9,50.6,31.9,32.7,68,2.3,0.17,6.5,52,6.6,6.1,0,7.4,0.9,細懸浮微粒,普通,2017/10/30 13:00
D415R,西屯,文心路站,2017/10/31,04:00:00,10,457,28.8,41.2,30.5,36.6,68,2.3,0.17,6.5,52,6.6,6.1,0,7.4,0.9,細懸浮微粒,普通,2017/10/30 13:00
D417R,西屯,烏日高鐵站,2017/10/31,04:00:00,8,407,28,46.8,34.3,32.4,68,2.3,0.17,6.5,52,6.6,6.1,0,7.4,0.9,細懸浮微粒,普通,2017/10/30 13:00
D4121,西屯,王田供油中心-1,2017/10/31,04:00:00,8,400,25.3,47.9,31.5,33.4,68,2.3,0.17,6.5,52,6.6,6.1,0,7.4,0.9,細懸浮微粒,普通,2017/10/30 13:00
D416V,西屯,五權西路站,2017/10/31,04:00:00,7,404,26.4,49.7,31.1,34.7,68,2.3,0.17,6.5,52,6.6,6.1,0,7.4,0.9,細懸浮微粒,普通,2017/10/30 13:00
D416K,西屯,公益路站,2017/10/31,04:00:00,6,400,27.8,46.1,31.8,35.5,68,2.3,0.17,6.5,52,6.6,6.1,0,7.4,0.9,細懸浮微粒,普通,2017/10/30 13:00
D417U,西屯,成功嶺站,2017/10/31,04:00:00,5,418,27.8,45.2,30.4,38.4,68,2.3,0.17,6.5,52,6.6,6.1,0,7.4,0.9,細懸浮微粒,普通,2017/10/30 13:00
D414A,西屯,龍井站,2017/10/31,04:00:00,2,421,27.9,43.7,34.5,29.2,68,2.3,0.17,6.5,52,6.6,6.1,0,7.4,0.9,細懸浮微粒,普通,2017/10/30 13:00
D415U,西屯,向上路站,2017/10/31,04:00:00,1,430,27.3,50.1,32,34.6,68,2.3,0.17,6.5,52,6.6,6.1,0,7.4,0.9,細懸浮微粒,普通,2017/10/30 13:00
D4121,西屯,王田供油中心-2,2017/10/31,04:00:00,1,412,26.1,47.6,31.9,33.8,68,2.3,0.17,6.5,52,6.6,6.1,0,7.4,0.9,細懸浮微粒,普通,2017/10/30 13:00
D415X,沙鹿,梧棲站,2017/10/31,04:00:00,34,486,26.5,49,27.7,45.8,55,2,0.17,7.6,62,11,0.1,0,8.8,1.2,細懸浮微粒,普通,2017/10/30 13:00
D4161,沙鹿,霧峰站,2017/10/31,04:00:00,13,414,28.1,48.5,33.9,34.3,55,2,0.17,7.6,62,11,0.1,0,8.8,1.2,細懸浮微粒,普通,2017/10/30 13:00
D4184,沙鹿,清水服務區站,2017/10/31,04:00:00,8,416,25.8,48,34.4,47.8,55,2,0.17,7.6,62,11,0.1,0,8.8,1.2,細懸浮微粒,普通,2017/10/30 13:00
D4124,沙鹿,台中港供油中心,2017/10/31,04:00:00,5,406,26.3,49.1,33.8,31.6,55,2,0.17,7.6,62,11,0.1,0,8.8,1.2,細懸浮微粒,普通,2017/10/30 13:00
D4154,沙鹿,清水站,2017/10/31,04:00:00,4,536,27.5,46.3,33.9,31.5,55,2,0.17,7.6,62,11,0.1,0,8.8,1.2,細懸浮微粒,普通,2017/10/30 13:00
D4141,忠明,三民路站,2017/10/31,04:00:00,16,429,27.7,47.7,31.4,37.4,72,1.6,0.22,10,50,3.6,353,0,12,2.2,細懸浮微粒,普通,2017/10/30 13:00
D4100,忠明,台中營業處大樓5F,2017/10/31,04:00:00,10,404,26.3,47.8,31.4,34.8,72,1.6,0.22,10,50,3.6,353,0,12,2.2,細懸浮微粒,普通,2017/10/30 13:00
D415V,忠明,大雅中清路站,2017/10/31,04:00:00,9,415,26.8,47.4,34.5,28,72,1.6,0.22,10,50,3.6,353,0,12,2.2,細懸浮微粒,普通,2017/10/30 13:00
D4100,忠明,台中營業處大樓1F,2017/10/31,04:00:00,9,412,24.6,52.3,27.3,43.7,72,1.6,0.22,10,50,3.6,353,0,12,2.2,細懸浮微粒,普通,2017/10/30 13:00
D4167,忠明,北屯站,2017/10/31,04:00:00,8,424,27.3,46.3,33.8,31.6,72,1.6,0.22,10,50,3.6,353,0,12,2.2,細懸浮微粒,普通,2017/10/30 13:00
D4100,忠明,台中營業處大樓3F,2017/10/31,04:00:00,5,411,25.5,52,32.4,50.8,72,1.6,0.22,10,50,3.6,353,0,12,2.2,細懸浮微粒,普通,2017/10/30 13:00
D514G,林園,林園站,2017/10/31,04:00:00,41,415,29.8,50.4,33.4,26.5,87,4.8,0.29,8.1,50,2.7,240,0,8.2,0.1,細懸浮微粒,普通,2017/10/30 13:00
D515H,林園,林園沿海加油站,2017/10/31,04:00:00,25,436,29.8,47.7,33.9,34.1,87,4.8,0.29,8.1,50,2.7,240,0,8.2,0.1,細懸浮微粒,普通,2017/10/30 13:00
D5157,林園,東港站,2017/10/31,04:00:00,23,444,27,54.8,34.5,37.3,87,4.8,0.29,8.1,50,2.7,240,0,8.2,0.1,細懸浮微粒,普通,2017/10/30 13:00
D5143,林園,枋寮站,2017/10/31,04:00:00,20,452,30.9,45.4,36,33.6,87,4.8,0.29,8.1,50,2.7,240,0,8.2,0.1,細懸浮微粒,普通,2017/10/30 13:00
D514J,前金,中華三路站,2017/10/31,04:00:00,25,421,29.9,46,32.9,37.9,90,3,0.33,6.5,88,4.5,272,0,7.1,0.6,細懸浮微粒,普通,2017/10/30 13:00
D5154,前金,成功一路站,2017/10/31,04:00:00,23,410,28.5,49.4,30.6,43.1,90,3,0.33,6.5,88,4.5,272,0,7.1,0.6,細懸浮微粒,普通,2017/10/30 13:00
D5100,前鎮,處本部5樓,2017/10/31,04:00:00,15,421,26.4,56.7,29.1,48.1,98,4.5,0.37,14,95,2.5,311,0,16,2.3,細懸浮微粒,普通,2017/10/30 13:00
D4168,南投,名間站,2017/10/31,04:00:00,23,427,26.9,52.1,30.7,40.4,72,2.3,0.32,13,71,3.1,345,0,15,1.8,細懸浮微粒,普通,2017/10/30 13:00
D414M,南投,南投三和站,2017/10/31,04:00:00,18,449,26.5,54.2,30.6,42.1,72,2.3,0.32,13,71,3.1,345,0,15,1.8,細懸浮微粒,普通,2017/10/30 13:00
D4187,南投,南投服務區站,2017/10/31,04:00:00,16,456,27.4,52.4,30.5,41.4,72,2.3,0.32,13,71,3.1,345,0,15,1.8,細懸浮微粒,普通,2017/10/30 13:00
D4143,南投,草屯站,2017/10/31,04:00:00,12,554,26.2,52.7,33.8,32.5,72,2.3,0.32,13,71,3.1,345,0,15,1.8,細懸浮微粒,普通,2017/10/30 13:00
D416Y,南投,南崗工業區站,2017/10/31,04:00:00,10,460,27.1,52.1,33.2,36.4,72,2.3,0.32,13,71,3.1,345,0,15,1.8,細懸浮微粒,普通,2017/10/30 13:00
D417T,南投,南崗三路站,2017/10/31,04:00:00,5,499,24.4,58.6,31.7,54.2,72,2.3,0.32,13,71,3.1,345,0,15,1.8,細懸浮微粒,普通,2017/10/30 13:00
D5160,屏東,里港站,2017/10/31,04:00:00,46,450,22.3,68.2,28.1,56,80,2.6,0.3,6.3,66,2,300,0,6.4,0.1,細懸浮微粒,普通,2017/10/30 13:00
D514M,屏東,中正路站,2017/10/31,04:00:00,45,510,29,51.2,35,35.2,80,2.6,0.3,6.3,66,2,300,0,6.4,0.1,細懸浮微粒,普通,2017/10/30 13:00
D5173,屏東,復興路站,2017/10/31,04:00:00,29,446,25.5,64.3,33.5,40.1,80,2.6,0.3,6.3,66,2,300,0,6.4,0.1,細懸浮微粒,普通,2017/10/30 13:00
D5156,屏東,忠孝路站,2017/10/31,04:00:00,28,391,29.2,50.3,36,33.8,80,2.6,0.3,6.3,66,2,300,0,6.4,0.1,細懸浮微粒,普通,2017/10/30 13:00
D515R,屏東,長治站,2017/10/31,04:00:00,25,439,30.2,49.8,31.2,36.7,80,2.6,0.3,6.3,66,2,300,0,6.4,0.1,細懸浮微粒,普通,2017/10/30 13:00
D514H,屏東,公園路站,2017/10/31,04:00:00,22,408,28.4,53.5,34.9,36.2,80,2.6,0.3,6.3,66,2,300,0,6.4,0.1,細懸浮微粒,普通,2017/10/30 13:00
D516G,屏東,嶺口站,2017/10/31,04:00:00,15,434,29.6,49,35.8,34.2,80,2.6,0.3,6.3,66,2,300,0,6.4,0.1,細懸浮微粒,普通,2017/10/30 13:00
