台北市,糕點,伊莎貝爾-台北南京店,1.生日蛋糕自取、彌月蛋糕及禮盒:85折  2.彌月油飯、喜餅、下午茶、伴手禮、巧克力:9折  備註:  1.持會員卡或員工證  2.依原價折扣,2018/2/24 0:00,02-27183968,台北市南京東路三段215號
台北市,糕點,伊莎貝爾-台北忠孝店,1.生日蛋糕自取、彌月蛋糕及禮盒:85折  2.彌月油飯、喜餅、下午茶、伴手禮、巧克力:9折  備註:  1.持會員卡或員工證  2.以上依原價優惠,2018/2/25 0:00,02-87895698,台北市忠孝東路五段396號
台北市,糕點,伊莎貝爾-台北士林店,1.生日蛋糕自取、彌月蛋糕及禮盒:85折  2.彌月油飯、喜餅、下午茶、伴手禮、巧克力:9折  備註:  1.持會員卡或員工證  2.以上依原價優惠,2018/2/26 0:00,02-28337076,台北市文林路474號
新北市,糕點,伊莎貝爾-新北永和店,1.生日蛋糕自取、彌月蛋糕及禮盒:85折  2.彌月油飯、喜餅、下午茶、伴手禮、巧克力:9折  備註:  1.持會員卡或員工證  2.以上依原價優惠,2018/2/27 0:00,02-22316738,新北市永和區永和路一段222號
屏東縣,糕點,伊莎貝爾-屏東民生店,1.生日蛋糕自取、彌月蛋糕及禮盒:85折  2.彌月油飯、喜餅、下午茶、伴手禮、巧克力:9折  備註:  1.持會員卡或員工證  2.以上依原價優惠,2018/2/28 0:00,08-7656280,屏東縣屏東市民生路198號
台北市,醫療,美加醫美診所-台北仁愛,預約諮詢贈送面膜1片，消費享9折(不得共用其他優惠)【持會員卡或員工證】,2018/3/1 0:00,02-55886889,台北市大安區復興南路一段227號4樓
高雄市,餐飲,Subway-楠梓加工區店,餐點95折/滿2000元92折【持會員卡或員工證】,2018/3/2 0:00,07-3644325,高雄市楠梓區翠屏路8號
桃園市,醫療,美加醫美診所-桃園中正,預約諮詢贈送面膜1片，消費享9折(不得共用其他優惠)【持會員卡或員工證】,2018/3/3 0:00,03-2751313,桃園市桃園區同德二街131號2樓
高雄市,餐飲,生秀的門RustyDoor,95折【持會員卡或員工證】,2018/3/4 0:00,07-6240778,高雄市岡山區中山北路35號
台中市,醫療,美加醫美診所-台中向上,預約諮詢贈送面膜1片，消費享9折(不得共用其他優惠)【持會員卡或員工證】,2018/3/5 0:00,04-24727890,台中市向上路一段345號
新竹市,糕點,皇樓-新竹北大店,1.生日蛋糕自取、彌月蛋糕及禮盒:85折  2.彌月油飯、喜餅、下午茶、伴手禮、巧克力:9折  備註:  1.持會員卡或員工證  2.以上依原價優惠,2018/3/6 0:00,03-5284722,新竹市北大路190號
台中市,糕點,皇樓-台中三民店,1.生日蛋糕自取、彌月蛋糕及禮盒:85折  2.彌月油飯、喜餅、下午茶、伴手禮、巧克力:9折  備註:  1.持會員卡或員工證  2.以上依原價優惠,2018/3/7 0:00,04-22216966,台中市三民路二段76號
台中市,糕點,皇樓-豐原中正店,1.生日蛋糕自取、彌月蛋糕及禮盒:85折  2.彌月油飯、喜餅、下午茶、伴手禮、巧克力:9折  備註:  1.持會員卡或員工證  2.以上依原價優惠,2018/3/8 0:00,04-25205118,台中市豐原區中正路209號
高雄市,醫療,美加醫美診所-高雄巨蛋,預約諮詢贈送面膜1片，消費享9折(不得共用其他優惠)【持會員卡或員工證】,2018/3/9 0:00,07-3427999,高雄市左營區博愛三路8-1號4樓
花蓮縣,租車,小馬租車-花蓮小馬,1.各車型短租依定價:平日7折、假日8折；當月壽星平日5折、假日6折。  2.經濟型轎車(1.5-1.6):持台鐵票根，當日租還999元(限週一至週五19:30前還車)。  ※備註:  1.持會員卡或員工證。  2.平日:週一至週四及最後假日13:01起；假日:週五至週日與國定假日(連續假日)當天及前一日。  3.請租車三日前預約；春節期間及3日以上連假不適用。,2018/3/10 0:00,03-8354888,花蓮市國聯四路21號
台東縣,租車,小馬租車-台東車站,1.各車型短租依定價:平日7折、假日8折；當月壽星平日5折、假日6折。  2.經濟型轎車(1.5-1.6):持台鐵票根，當日租還999元(限週一至週五19:30前還車)。  ※備註:  1.持會員卡或員工證。  2.平日:週一至週四及最後假日13:01起；假日:週五至週日與國定假日(連續假日)當天及前一日。  3.請租車三日前預約；春節期間及3日以上連假不適用。,2018/3/11 0:00,089-232088,台東市興安路一段492-1號
台北市,糕點,皇樓-台北南京店,1.生日蛋糕自取、彌月蛋糕及禮盒:85折  2.彌月油飯、喜餅、下午茶、伴手禮、巧克力:9折  備註:  1.持會員卡或員工證  2.以上依原價優惠,2018/3/12 0:00,02-27183968,台北市南京東路三段215號
台北市,糕點,皇樓-台北忠孝店,1.生日蛋糕自取、彌月蛋糕及禮盒:85折  2.彌月油飯、喜餅、下午茶、伴手禮、巧克力:9折  備註:  1.持會員卡或員工證  2.以上依原價優惠,2018/3/13 0:00,02-87895698,台北市忠孝東路五段396號
台中市,按摩,泰晶殿-台中大墩會館,現金消費120分鐘以上(含)可折抵200元(不得共用其他優惠)【持會員卡或員工證】,2018/3/14 0:00,04-23268666,台中市西屯區大墩路987號
新北市,糕點,Rivon禮坊-三重店,1.生日蛋糕、點心蛋糕、蛋糕禮盒等蛋糕類自製品85折  2.彌月蛋糕禮盒、節慶蛋糕，依當期優惠再95折  3.訂婚禮盒贈送訂購總額3%之婚禮小物或自製品(原促銷方案若有贈品則須擇一，無法同時享有)  4.節慶禮盒依當期優惠再95折(藝術家瓷器系列及公益款除外)  備註:  1.持會員卡或員工證  2.以上優惠不適用於外購商品與特賣商品,2018/3/15 0:00,02-29854195,新北市三重區正義北路193號
基隆市,糕點,Rivon禮坊-基隆店,1.生日蛋糕、點心蛋糕、蛋糕禮盒等蛋糕類自製品85折  2.彌月蛋糕禮盒、節慶蛋糕，依當期優惠再95折  3.訂婚禮盒贈送訂購總額3%之婚禮小物或自製品(原促銷方案若有贈品則須擇一，無法同時享有)  4.節慶禮盒依當期優惠再95折(藝術家瓷器系列及公益款除外)  備註:  1.持會員卡或員工證  2.以上優惠不適用於外購商品與特賣商品,2018/3/16 0:00,02-24241205,基隆市仁愛區孝二路62號
宜蘭縣,糕點,Rivon禮坊-宜蘭店,1.生日蛋糕、點心蛋糕、蛋糕禮盒等蛋糕類自製品85折  2.彌月蛋糕禮盒、節慶蛋糕，依當期優惠再95折  3.訂婚禮盒贈送訂購總額3%之婚禮小物或自製品(原促銷方案若有贈品則須擇一，無法同時享有)  4.節慶禮盒依當期優惠再95折(藝術家瓷器系列及公益款除外)  備註:  1.持會員卡或員工證  2.以上優惠不適用於外購商品與特賣商品,2018/3/17 0:00,039-562457,宜蘭縣羅東鎮公正路89號
桃園市,糕點,Rivon禮坊-桃園店,1.生日蛋糕、點心蛋糕、蛋糕禮盒等蛋糕類自製品85折  2.彌月蛋糕禮盒、節慶蛋糕，依當期優惠再95折  3.訂婚禮盒贈送訂購總額3%之婚禮小物或自製品(原促銷方案若有贈品則須擇一，無法同時享有)  4.節慶禮盒依當期優惠再95折(藝術家瓷器系列及公益款除外)  備註:  1.持會員卡或員工證  2.以上優惠不適用於外購商品與特賣商品,2018/3/18 0:00,03-3327777,桃園縣桃園市中山路147號
桃園市,糕點,Rivon禮坊-中壢店,1.生日蛋糕、點心蛋糕、蛋糕禮盒等蛋糕類自製品85折  2.彌月蛋糕禮盒、節慶蛋糕，依當期優惠再95折  3.訂婚禮盒贈送訂購總額3%之婚禮小物或自製品(原促銷方案若有贈品則須擇一，無法同時享有)  4.節慶禮盒依當期優惠再95折(藝術家瓷器系列及公益款除外)  備註:  1.持會員卡或員工證  2.以上優惠不適用於外購商品與特賣商品,2018/3/19 0:00,03-4225196,桃園市中壢區延平路461號
新竹市,糕點,Rivon禮坊-新竹店,1.生日蛋糕、點心蛋糕、蛋糕禮盒等蛋糕類自製品85折  2.彌月蛋糕禮盒、節慶蛋糕，依當期優惠再95折  3.訂婚禮盒贈送訂購總額3%之婚禮小物或自製品(原促銷方案若有贈品則須擇一，無法同時享有)  4.節慶禮盒依當期優惠再95折(藝術家瓷器系列及公益款除外)  備註:  1.持會員卡或員工證  2.以上優惠不適用於外購商品與特賣商品,2018/3/20 0:00,03-5218252,新竹市北區中正路163號
台中市,糕點,Rivon禮坊-豐原店,1.生日蛋糕、點心蛋糕、蛋糕禮盒等蛋糕類自製品85折  2.彌月蛋糕禮盒、節慶蛋糕，依當期優惠再95折  3.訂婚禮盒贈送訂購總額3%之婚禮小物或自製品(原促銷方案若有贈品則須擇一，無法同時享有)  4.節慶禮盒依當期優惠再95折(藝術家瓷器系列及公益款除外)  備註:  1.持會員卡或員工證  2.以上優惠不適用於外購商品與特賣商品,2018/3/21 0:00,04-25121051,台中市豐原區中正路231號
彰化縣,糕點,Rivon禮坊-彰化店,1.生日蛋糕、點心蛋糕、蛋糕禮盒等蛋糕類自製品85折  2.彌月蛋糕禮盒、節慶蛋糕，依當期優惠再95折  3.訂婚禮盒贈送訂購總額3%之婚禮小物或自製品(原促銷方案若有贈品則須擇一，無法同時享有)  4.節慶禮盒依當期優惠再95折(藝術家瓷器系列及公益款除外)  備註:  1.持會員卡或員工證  2.以上優惠不適用於外購商品與特賣商品,2018/3/22 0:00,04-7262087,彰化縣彰化市中正路二段149號
嘉義市,糕點,Rivon禮坊-嘉義店,1.生日蛋糕、點心蛋糕、蛋糕禮盒等蛋糕類自製品85折  2.彌月蛋糕禮盒、節慶蛋糕，依當期優惠再95折  3.訂婚禮盒贈送訂購總額3%之婚禮小物或自製品(原促銷方案若有贈品則須擇一，無法同時享有)  4.節慶禮盒依當期優惠再95折(藝術家瓷器系列及公益款除外)  備註:  1.持會員卡或員工證  2.以上優惠不適用於外購商品與特賣商品,2018/3/23 0:00,05-2168116,嘉義市西區中山路543號
彰化縣,糕點,皇樓-員林中正店,1.生日蛋糕自取、彌月蛋糕及禮盒:85折  2.彌月油飯、喜餅、下午茶、伴手禮、巧克力:9折  備註:  1.持會員卡或員工證  2.以上依原價優惠,2018/3/24 0:00,04-8339662,彰化縣員林鎮中正路223號
嘉義市,糕點,皇樓-嘉義中山店,1.生日蛋糕自取、彌月蛋糕及禮盒:85折  2.彌月油飯、喜餅、下午茶、伴手禮、巧克力:9折  備註:  1.持會員卡或員工證  2.以上依原價優惠,2018/3/25 0:00,05-2239992,嘉義市中山路557號
